Date,Team,TeamPoints,OppTeam,OpponentPoints
"Tue, Oct 22, 2019",TOR,130,NO,122
"Tue, Oct 22, 2019",LAC,112,LAL,102
"Wed, Oct 23, 2019",CHA,126,CHI,125
"Wed, Oct 23, 2019",IND,110,DET,119
"Wed, Oct 23, 2019",ORL,94,CLE,85
"Wed, Oct 23, 2019",BRK,126,MIN,127
"Wed, Oct 23, 2019",MIA,120,MEM,101
"Wed, Oct 23, 2019",PHI,107,BOS,93
"Wed, Oct 23, 2019",DAL,108,WAS,100
"Wed, Oct 23, 2019",SAS,120,NYK,111
"Wed, Oct 23, 2019",UTA,100,OKC,95
"Wed, Oct 23, 2019",PHX,124,SAC,95
"Wed, Oct 23, 2019",POR,100,DEN,108
"Thu, Oct 24, 2019",DET,100,ATL,117
"Thu, Oct 24, 2019",HOU,111,MIL,117
"Thu, Oct 24, 2019",GSW,122,LAC,141
"Fri, Oct 25, 2019",BOS,112,TOR,106
"Fri, Oct 25, 2019",CHA,99,MIN,121
"Fri, Oct 25, 2019",BRK,113,NYK,109
"Fri, Oct 25, 2019",MEM,102,CHI,110
"Fri, Oct 25, 2019",NO,116,DAL,123
"Fri, Oct 25, 2019",OKC,85,WAS,97
"Fri, Oct 25, 2019",DEN,108,PHX,107
"Fri, Oct 25, 2019",SAC,112,POR,122
"Fri, Oct 25, 2019",LAL,95,UTA,86
"Sat, Oct 26, 2019",MIL,126,MIA,131
"Sat, Oct 26, 2019",DET,111,PHI,117
"Sat, Oct 26, 2019",ATL,103,ORL,99
"Sat, Oct 26, 2019",NYK,95,BOS,118
"Sat, Oct 26, 2019",CHI,84,TOR,108
"Sat, Oct 26, 2019",CLE,110,IND,99
"Sat, Oct 26, 2019",HOU,126,NO,123
"Sat, Oct 26, 2019",SAS,124,WAS,122
"Sat, Oct 26, 2019",UTA,113,SAC,81
"Sat, Oct 26, 2019",PHX,130,LAC,122
"Sun, Oct 27, 2019",OKC,120,GSW,92
"Sun, Oct 27, 2019",MEM,134,BRK,133
"Sun, Oct 27, 2019",DAL,119,POR,121
"Sun, Oct 27, 2019",MIN,116,MIA,109
"Sun, Oct 27, 2019",LAL,120,CHA,101
"Mon, Oct 28, 2019",NYK,105,CHI,98
"Mon, Oct 28, 2019",DET,96,IND,94
"Mon, Oct 28, 2019",TOR,104,ORL,95
"Mon, Oct 28, 2019",ATL,103,PHI,105
"Mon, Oct 28, 2019",HOU,116,OKC,112
"Mon, Oct 28, 2019",MIL,129,CLE,112
"Mon, Oct 28, 2019",NO,123,GSW,134
